,State,Country,Zip Code
0,North Carolina,us,28801
1,Texas,us,78703
2,Massachusetts,us,02118
3,Florida,us,33315
4,Massachusetts,us,02139
5,Illinois,us,60622
6,Nevada,us,89109
7,Ohio,us,43201
8,Colorado,us,80218
9,Hawaii,us,96761
10,New Jersey,us,07302
11,California,us,90019
12,Tennessee,us,37201
13,Louisiana,us,70112
14,New York,us,11222
15,California,us,94610
16,California,us,93950
17,Oregon,us,97232
18,Rhode Island,us,02835
19,Oregon,us,97301
20,California,us,95050
21,California,us,92111
22,California,us,94114
23,California,us,94010
24,California,us,95065
25,Washington,us,98191
26,Minnesota,us,55402
27,District of Columbia,us,20001
